Series,N,NF,Category,Starting Year,Starting Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
N2522,143,18,FINANCE,1982,1,7008.8,7046.8,7161.9,7112.8,7160.1,7176.5,7255.9,7270.9,7381.8,7581.1,7712.5,7954.3,7752.9,7370.6,7084.3,7038.9,6879.7,7090.7,7271.0,7397.7,7356.9,7290.2,7791.9,7830.9,7345.0,7436.7,7322.1,7845.7,7953.0,8206.7,8095.7,7977.9,7792.8,7674.6,7770.8,7836.4,7580.5,7965.0,7703.2,7635.3,7344.4,7230.8,7277.0,7124.9,7109.2,6956.1,6817.5,6841.3,6864.0,6749.0,6688.2,6623.5,6675.9,6708.0,6643.7,6448.0,6700.9,6592.0,6495.2,6497.4,6504.9,6514.4,6595.4,6675.2,6777.9,6962.2,6849.5,6864.5,6877.1,7189.1,7106.8,7056.5,6315.2,6241.9,6345.4,6411.1,6338.1,6435.9,6324.0,6403.6,6345.2,6225.3,6596.1,6663.1,6221.2,6293.3,6245.8,6435.7,6239.6,6414.1,6558.8,6576.4,6381.4,6366.0,6380.2,6297.2,6001.9,5785.2,5586.5,5394.5,5476.6,5375.0,5200.6,5232.4,5046.9,5209.3,5396.8,5477.1,5649.8,5283.1,4879.5,4708.6,4643.8,4553.9,4475.6,4422.8,4346.2,4491.0,4394.7,4377.0,4311.2,4137.5,3930.9,3933.5,3838.4,3776.7,3773.3,3709.0,3781.4,3759.9,3766.4,3820.0,3600.1,3522.1,3493.9,3531.7,3492.7,3414.9,3312.0,3257.2,3304.1,3306.9,3199.7,
N2523,144,18,FINANCE,1982,1,1674.15,1676.16,1665.27,1726.97,1769.37,1800.15,1808.78,1740.94,1716.27,1703.65,1669.41,1623.3,1662.22,1684.55,1669.95,1706.39,1702.15,1721.8,1723.59,1724.03,1769.91,1776.18,1832.94,1834.98,1872.84,1939.26,2003.65,2100.73,2153.45,2205.94,2227.82,2201.25,2267.36,2305.11,2380.24,2317.6,2418.13,2462.32,2476.02,2559.13,2592.53,2595.72,2658.63,2718.57,2783.86,2834.64,2920.23,2939.09,2977.04,2974.23,2988.85,3003.09,3103.64,3145.98,3139.76,3226.48,3269.67,3299.55,3265.36,3259.48,3339.16,3374.52,3371.33,3497.63,3554.45,3512.53,3474.21,3479.17,3601.73,3611.24,3540.12,3735.86,3783.03,3882.02,3876.33,4086.62,4154.92,4151.25,4190.03,4220.9,4251.04,4295.49,4423.96,4517.62,4686.9,4870.07,4867.83,4986.06,5015.89,5043.71,5030.95,5137.86,5118.81,5124.46,5164.26,5218.59,5317.28,5411.99,5418.55,5533.68,5482.58,5438.63,5448.32,5473.64,5617.73,5583.75,5559.94,5578.11,5708.65,5682.25,5650.27,5563.39,5444.99,5422.65,5435.63,5340.52,5321.07,5256.24,5296.99,5281.24,5355.44,5347.89,5384.93,5475.77,5377.91,5459.4,5440.77,5412.6,5506.43,5514.8,5565.58,5451.36,5437.25,5352.18,5349.35,5449.23,5429.78,5433.04,5362.22,5391.74,5410.7,5445.97,5486.9,5529.95
N2524,144,18,FINANCE,1982,1,1122.56,1108.12,1098.11,1139.43,1179.18,1210.83,1228.85,1172.02,1152.16,1155.3,1156.5,1186.4,1198.84,1217.18,1210.38,1248.14,1266.93,1281.23,1285.25,1294.53,1308.42,1325.12,1388.54,1410.76,1426.38,1467.53,1511.97,1563.29,1614.74,1604.13,1605.44,1583.58,1595.42,1601.74,1670.44,1667.76,1715.76,1751.3,1774.43,1812.3,1823.09,1835.2,1880.99,1950.35,2016.73,2001.58,2065.07,2137.39,2120.97,2135.9,2187.42,2217.89,2302.76,2349.38,2327.18,2394.98,2432.95,2440.66,2433.0,2528.99,2579.71,2633.42,2627.01,2695.78,2762.16,2721.86,2680.49,2704.55,2808.48,2799.57,2737.6,2872.74,2957.04,3015.87,3018.96,3152.26,3249.85,3249.53,3279.59,3317.54,3326.3,3325.13,3445.44,3541.27,3624.69,3777.49,3770.94,3796.47,3783.88,3803.75,3810.29,3889.35,3857.98,3847.85,3871.37,3984.56,3987.39,4050.13,3996.71,4040.53,4024.93,3989.69,4007.03,4025.7,4101.34,4047.18,4085.78,4203.98,4216.83,4240.33,4178.2,4036.81,3961.02,3975.16,3983.13,3974.53,4002.92,3923.41,3947.31,4035.56,4031.58,3981.97,4021.71,4015.22,3951.2,4066.24,4040.24,4021.92,4140.01,4058.35,4074.99,4081.99,3986.43,3881.39,3924.17,3860.0,3852.95,3902.48,3774.16,3835.16,3865.69,3875.46,3933.07,4083.35
N2525,144,18,FINANCE,1982,1,1533.3,1548.7,1592.2,1636.15,1716.8,1772.3,1849.15,1832.85,1779.2,1794.65,1807.35,1733.3,1800.65,1892.55,1826.65,1898.95,1967.3,1972.5,1896.6,1960.7,1990.45,1975.9,2184.05,2241.65,2204.1,2276.3,2327.8,2418.5,2556.7,2510.8,2483.8,2515.65,2606.9,2702.75,2812.0,2859.55,2983.3,3054.95,3052.85,3180.75,3147.45,3171.9,3356.5,3379.5,3502.45,3410.45,3656.35,3979.8,3967.95,3971.95,4191.15,4255.3,4427.0,4523.15,4426.85,4607.3,4822.9,4823.5,4741.45,5126.05,5148.1,5202.4,5179.65,5279.15,5367.65,5450.5,5264.25,5394.9,5699.4,5403.2,5161.7,5751.7,6141.9,6351.6,6484.9,6783.65,6966.95,7151.3,7186.25,7271.35,7551.95,7387.95,7579.05,8076.75,8185.9,8740.35,8673.2,8628.85,8506.1,8508.7,8798.9,9041.1,8924.05,8655.95,8788.5,9429.0,9179.25,9390.0,9260.1,9347.95,9400.85,9716.75,9903.5,9945.0,10336.7,9954.6,10260.15,11068.1,10807.4,11108.45,11296.6,10703.6,10325.0,10309.35,10275.5,10335.1,10675.8,10590.05,10667.5,11054.65,11065.55,10841.8,11078.9,11363.6,11197.4,11762.15,11365.35,11477.5,11817.55,11158.85,11375.1,11812.5,10751.1,10405.4,11022.9,10574.6,10545.55,11058.45,10370.2,10639.95,10857.3,10744.2,10757.6,11379.25
N2526,144,18,FINANCE,1982,1,2447.7,2395.14,2339.01,2436.6,2507.46,2569.11,2577.06,2416.35,2388.96,2389.11,2385.09,2519.22,2516.13,2516.01,2535.15,2605.05,2620.41,2660.19,2717.79,2707.17,2730.99,2789.82,2855.19,2887.29,2956.68,3036.81,3139.23,3238.77,3310.2,3305.91,3326.04,3241.35,3222.12,3183.57,3324.12,3287.55,3357.3,3420.93,3491.58,3528.45,3580.8,3602.46,3629.07,3823.35,3948.72,3958.47,4001.4,4024.29,3982.14,4024.53,4047.57,4100.49,4252.08,4334.25,4325.43,4420.56,4405.11,4427.88,4454.13,4511.34,4650.27,4778.82,4773.24,4919.85,5065.89,4895.28,4882.92,4876.71,5005.8,5156.79,5115.78,5167.2,5185.98,5236.65,5165.94,5386.59,5569.38,5457.81,5527.02,5589.81,5447.73,5542.62,5788.89,5777.76,5962.53,6088.26,6108.9,6212.1,6247.98,6306.03,6151.53,6243.39,6219.51,6349.98,6341.01,6296.28,6454.62,6516.39,6434.07,6512.82,6434.28,6139.02,6078.99,6110.1,6102.0,6168.78,6101.25,5971.08,6166.05,6055.92,5756.64,5688.27,5688.06,5739.87,5784.09,5722.53,5603.28,5416.2,5441.43,5474.49,5455.41,5440.83,5417.79,5227.5,5135.16,5141.43,5301.51,5179.26,5329.5,5479.74,5399.91,5158.47,5508.63,5400.93,5158.77,5235.24,5231.52,5072.37,5100.36,5121.51,5082.69,5179.86,5344.65,5422.5
N2527,144,18,FINANCE,1982,1,2757.95,2840.2,2835.8,2937.7,2950.95,2946.6,2899.65,2844.6,2820.55,2741.75,2564.55,2184.5,2316.9,2336.85,2297.85,2291.25,2176.1,2202.85,2191.7,2147.5,2307.45,2255.3,2222.0,2121.1,2232.3,2358.65,2458.4,2687.2,2693.55,3009.05,3111.9,3088.35,3359.7,3516.85,3549.0,3249.2,3511.85,3555.1,3507.95,3734.15,3847.2,3802.6,3888.2,3841.1,3835.65,4165.3,4275.8,4008.5,4280.35,4191.65,4007.15,3926.0,4004.4,3983.0,4062.9,4157.5,4183.6,4294.45,4161.8,3652.45,3797.25,3705.5,3721.6,4009.25,3961.45,3953.35,3968.6,3873.1,3966.25,4058.35,4012.6,4315.6,4129.95,4330.75,4286.85,4671.8,4525.35,4508.6,4552.2,4516.8,4623.7,4851.8,4892.6,4881.75,5312.9,5462.9,5484.45,5947.95,6160.05,6199.8,6103.3,6242.55,6304.15,6383.05,6464.45,6170.15,6649.45,6809.3,7109.2,7465.75,7288.25,7244.7,7206.45,7239.7,7581.95,7682.85,7370.8,6870.65,7459.1,7209.6,7360.35,7632.9,7419.85,7237.45,7262.5,6829.95,6590.75,6664.15,6748.4,6228.4,6619.3,6829.6,6816.1,7302.75,7133.55,6965.8,7002.65,6953.4,6832.1,7282.25,7452.95,6846.85,7254.1,7353.95,7125.9,7946.15,7884.15,7652.8,7940.3,7782.9,7725.05,7852.55,7769.15,7233.0
N2528,134,18,FINANCE,1983,1,3528.48,3662.34,3648.9,3788.42,3700.22,3791.58,3789.56,3868.1,4160.68,3801.34,3905.34,3971.42,3989.14,3776.74,3902.0,4164.14,4047.38,4014.52,4083.88,4063.68,4143.0,3973.64,4113.42,4170.46,4012.48,4104.5,4152.06,4495.68,4202.9,4291.5,4478.28,4311.0,4763.28,4312.62,4343.64,4751.44,4570.24,4491.0,4536.76,4700.3,4593.82,4624.12,4648.18,4695.24,4918.0,4787.18,4866.68,5347.18,5069.12,4869.7,5087.64,5471.8,5102.44,5310.96,5147.76,5054.72,5252.98,5400.96,5329.82,5511.32,5303.48,5213.86,5301.44,5679.58,5399.78,5548.84,5508.16,5491.84,5703.7,5586.62,5712.76,5873.48,5735.42,5691.64,5632.7,6076.14,5731.02,5916.32,5664.74,5650.3,5812.14,5868.78,5850.78,6089.3,5858.18,5850.12,5902.74,5945.4,6032.92,6127.08,6175.96,6207.72,6220.62,6317.62,6377.42,6551.46,6524.12,6500.32,6306.1,6379.56,6357.58,6372.08,6408.02,6395.26,6432.72,6667.14,6590.38,7061.22,6662.58,6606.94,6719.42,6640.22,6654.58,6889.32,6953.12,6872.76,7281.68,6936.34,7103.74,7358.02,7151.04,7242.52,7371.74,7374.84,7430.4,7886.56,7529.52,7722.24,7858.7,7695.32,7983.84,8199.42,8081.78,7949.02,,,,,,,,,,
N2529,134,18,FINANCE,1983,1,2853.12,2859.5,2977.2,3022.68,3043.96,3112.98,3106.28,3204.84,3347.96,3119.28,3200.86,3273.88,3261.62,3170.7,3190.16,3458.74,3351.32,3309.3,3342.26,3412.96,3408.66,3248.34,3424.32,3481.04,3311.7,3413.14,3444.7,3691.9,3471.14,3580.26,3526.96,3605.04,3610.36,3563.06,3598.12,3905.92,3786.64,3703.44,3723.7,3865.18,3822.22,3864.42,3863.02,3903.16,4046.7,3983.92,4115.5,4485.7,4245.82,4068.68,4219.12,4650.24,4334.82,4471.36,4357.22,4318.74,4435.06,4588.56,4600.44,4720.92,4531.26,4510.52,4550.08,4880.12,4677.72,4797.34,4721.5,4677.64,4872.14,4767.4,4876.06,5018.9,4828.26,4615.9,4768.7,5149.96,4685.72,4781.18,4524.6,4503.84,4574.08,4528.82,4610.32,4739.82,4520.92,5156.58,4577.88,4642.48,4709.5,4781.28,4811.22,4889.0,4861.64,4917.02,5045.58,5240.04,5169.42,5201.8,5001.38,5036.96,5099.7,5136.26,5172.72,5239.82,5290.56,5481.22,5439.84,5787.88,5449.62,5430.72,5480.26,5496.6,5547.08,5674.58,5641.38,5763.6,6074.48,5778.34,6033.76,6244.68,6050.62,6152.3,6240.74,6222.66,6300.48,6717.38,6407.6,6552.58,6728.44,6545.92,6828.14,7016.64,6964.72,6865.6,,,,,,,,,,
N2530,134,18,FINANCE,1983,1,2647.36,2711.22,2733.02,2831.0,2823.6,2833.46,2885.1,2929.78,3108.46,2921.92,2988.78,3038.84,3005.08,2816.94,3016.28,3242.68,3097.38,3057.18,3014.1,3063.66,3100.36,2964.4,3155.4,3217.0,3091.1,3192.64,3219.66,3478.26,3284.9,3382.2,3341.9,3402.18,3394.04,3374.1,3383.36,3626.54,3579.84,3530.72,3532.4,3636.68,3639.84,3676.98,3668.92,3718.74,3815.02,3799.9,3925.86,4226.32,4049.72,3883.56,3928.18,4377.66,4146.08,4246.12,4163.4,4144.76,4238.82,4352.28,4379.2,4451.02,4368.22,4337.82,4349.92,4079.42,4463.84,4552.72,4489.0,4455.9,4583.62,4512.76,4654.04,4768.44,4658.66,4589.98,4572.86,4643.0,4470.7,4635.34,4373.52,4348.18,4421.02,4363.52,4462.84,4567.34,4367.84,4382.64,4386.44,4489.36,4549.1,4627.66,4646.26,4728.68,4687.46,4755.26,4899.7,5042.06,4983.88,5028.08,4819.3,4889.86,4962.22,4968.92,5019.56,5099.18,5171.08,5353.5,5304.26,5636.62,5322.96,5308.46,5352.02,5358.9,5421.04,5537.66,5519.38,5643.06,5927.94,5657.54,5919.04,6049.48,5939.54,6029.8,6104.34,6107.62,6196.82,6563.98,6292.28,6435.5,6513.06,6431.06,6696.34,6884.04,6813.04,6766.58,,,,,,,,,,
N2531,134,18,FINANCE,1983,1,3528.48,3662.34,3648.9,3788.42,3700.22,3791.58,3789.56,3868.1,4160.68,3801.34,3905.34,3971.42,3989.14,3776.74,3902.0,4164.14,4047.38,4014.52,4083.88,4063.68,4143.0,3973.64,4113.42,4170.46,4012.48,4104.5,4152.06,4496.4,4202.9,4291.5,4478.28,4311.0,4763.28,4312.62,4343.64,4751.44,4570.24,4491.0,4536.76,4700.3,4593.82,4624.12,4648.18,4695.24,4918.0,4787.18,4866.68,5347.18,5069.12,4869.7,5087.64,5471.8,5102.44,5310.96,5147.76,5054.72,5252.98,5400.96,5329.82,5511.32,5303.48,5213.86,5301.44,5679.58,5399.78,5548.84,5508.16,5491.84,5703.7,5586.62,5712.76,5873.48,5735.42,5691.64,5632.7,6076.14,5731.02,5916.32,5664.74,5650.3,5812.14,5868.78,5850.78,6089.3,5858.18,5850.12,5902.74,5945.4,6032.92,6127.08,6175.96,6207.72,6220.62,6317.62,6377.42,6551.46,6524.12,6500.32,6306.1,6379.56,6357.58,6372.08,6408.02,6395.26,6432.72,6667.14,6590.38,7061.22,6662.58,6606.94,6719.42,6640.22,6654.58,6889.32,6953.12,6872.76,7281.68,6936.34,7103.74,7358.02,7151.04,7242.52,7371.74,7374.84,7430.4,7886.56,7529.52,7722.24,7858.7,7695.32,7983.84,8199.42,8081.78,7949.02,,,,,,,,,,
